"","Stage","Date","Distance_km","Type","Winner","Type_general"
"1","1",2017-07-01,14,"Individual time trial","Geraint Thomas","time trial"
"2","2",2017-07-02,203.5,"Flat stage","Marcel Kittel","flat"
"3","3",2017-07-03,212.5,"Medium mountain stage","Peter Sagan","mountain"
"4","4",2017-07-04,207.5,"Flat stage","Arnaud Démare","flat"
"5","5",2017-07-05,160.5,"Medium mountain stage","Fabio Aru","mountain"
"6","6",2017-07-06,216,"Flat stage","Marcel Kittel","flat"
"7","7",2017-07-07,213.5,"Flat stage","Marcel Kittel","flat"
"8","8",2017-07-08,187.5,"Medium mountain stage","Lilian Calmejane","mountain"
"9","9",2017-07-09,181.5,"High mountain stage","Rigoberto Urán","mountain"
"10","10",2017-07-11,178,"Flat stage","Marcel Kittel","flat"
"11","11",2017-07-12,203.5,"Flat stage","Marcel Kittel","flat"
"12","12",2017-07-13,214.5,"High mountain stage","Romain Bardet","mountain"
"13","13",2017-07-14,101,"High mountain stage","Warren Barguil","mountain"
"14","14",2017-07-15,181.5,"Medium mountain stage","Michael Matthews","mountain"
"15","15",2017-07-16,189.5,"Medium mountain stage","Bauke Mollema","mountain"
"16","16",2017-07-18,165,"Medium mountain stage","Michael Matthews","mountain"
"17","17",2017-07-19,183,"High mountain stage","Primož Roglič","mountain"
"18","18",2017-07-20,179.5,"High mountain stage","Warren Barguil","mountain"
"19","19",2017-07-21,222.5,"Flat stage","Edvald Boasson Hagen","flat"
"20","20",2017-07-22,22.5,"Individual time trial","Maciej Bodnar","time trial"
"21","21",2017-07-23,103,"Flat stage","Dylan Groenewegen","flat"
"22","1",2016-07-02,188,"Flat stage","Mark Cavendish","flat"
"23","2",2016-07-03,183,"Flat stage","Peter Sagan","flat"
"24","3",2016-07-04,223.5,"Flat stage","Mark Cavendish","flat"
"25","4",2016-07-05,237.5,"Flat stage","Marcel Kittel","flat"
"26","5",2016-07-06,216,"Medium mountain stage","Greg Van Avermaet","mountain"
"27","6",2016-07-07,190.5,"Flat stage","Mark Cavendish","flat"
"28","7",2016-07-08,162.5,"Medium mountain stage","Steve Cummings","mountain"
"29","8",2016-07-09,184,"High mountain stage","Chris Froome","mountain"
"30","9",2016-07-10,184.5,"High mountain stage","Tom Dumoulin","mountain"
"31","10",2016-07-12,197,"Medium mountain stage","Michael Matthews","mountain"
"32","11",2016-07-13,162.5,"Flat stage","Peter Sagan","flat"
"33","12",2016-07-14,178,"High mountain stage","Thomas De Gendt","mountain"
"34","13",2016-07-15,37.5,"Individual time trial","Tom Dumoulin","time trial"
"35","14",2016-07-16,208.5,"Flat stage","Mark Cavendish","flat"
"36","15",2016-07-17,160,"High mountain stage","Jarlinson Pantano","mountain"
"37","16",2016-07-18,209,"Flat stage","Peter Sagan","flat"
"38","17",2016-07-20,184.5,"High mountain stage","Ilnur Zakarin","mountain"
"39","18",2016-07-21,17,"Mountain time trial","Chris Froome","time trial"
"40","19",2016-07-22,146,"High mountain stage","Romain Bardet","mountain"
"41","20",2016-07-23,146.5,"High mountain stage","Ion Izagirre","mountain"
"42","21",2016-07-24,113,"Flat stage","André Greipel","flat"
"43","1",2015-07-04,13.8,"Individual time trial","Rohan Dennis","time trial"
"44","2",2015-07-05,166,"Flat stage","André Greipel","flat"
"45","3",2015-07-06,159.5,"Flat stage","Joaquim Rodríguez","flat"
"46","4",2015-07-07,223.5,"Medium mountain stage","Tony Martin","mountain"
"47","5",2015-07-08,189.5,"Flat stage","André Greipel","flat"
"48","6",2015-07-09,191.5,"Flat stage","Zdeněk Štybar","flat"
"49","7",2015-07-10,190.5,"Flat stage","Mark Cavendish","flat"
"50","8",2015-07-11,181.5,"Flat stage","Alexis Vuillermoz","flat"
"51","9",2015-07-12,28,"Team time trial","BMC Racing Team","time trial"
"52","10",2015-07-14,167,"High mountain stage","Chris Froome","mountain"
"53","11",2015-07-15,188,"High mountain stage","Rafał Majka","mountain"
"54","12",2015-07-16,195,"High mountain stage","Joaquim Rodríguez","mountain"
"55","13",2015-07-17,198.5,"Medium mountain stage","Greg Van Avermaet","mountain"
"56","14",2015-07-18,178.5,"Medium mountain stage","Steve Cummings","mountain"
"57","15",2015-07-19,183,"Medium mountain stage","André Greipel","mountain"
"58","16",2015-07-20,201,"Medium mountain stage","Rubén Plaza Molina","mountain"
"59","17",2015-07-22,161,"High mountain stage","Simon Geschke","mountain"
"60","18",2015-07-23,186.5,"High mountain stage","Romain Bardet","mountain"
"61","19",2015-07-24,138,"High mountain stage","Vincenzo Nibali","mountain"
"62","20",2015-07-25,110.5,"High mountain stage","Thibaut Pinot","mountain"
"63","21",2015-07-26,109.5,"Flat stage","André Greipel","flat"
"64","1",2014-07-05,190.5,"Flat stage","Marcel Kittel","flat"
"65","2",2014-07-06,201,"Medium mountain stage","Vincenzo Nibali","mountain"
"66","3",2014-07-07,155,"Flat stage","Marcel Kittel","flat"
"67","4",2014-07-08,163.5,"Flat stage","Marcel Kittel","flat"
"68","5",2014-07-09,152.5,"Medium mountain stage","Lars Boom","mountain"
"69","6",2014-07-10,194,"Flat stage","André Greipel","flat"
"70","7",2014-07-11,234.5,"Flat stage","Matteo Trentin","flat"
"71","8",2014-07-12,161,"Medium mountain stage","Blel Kadri","mountain"
"72","9",2014-07-13,170,"Medium mountain stage","Tony Martin","mountain"
"73","10",2014-07-14,161.5,"High mountain stage","Vincenzo Nibali","mountain"
"74","11",2014-07-16,187.5,"Medium mountain stage","Tony Gallopin","mountain"
"75","12",2014-07-17,185.5,"Flat stage","Alexander Kristoff","flat"
"76","13",2014-07-18,197.5,"High mountain stage","Vincenzo Nibali","mountain"
"77","14",2014-07-19,177,"High mountain stage","Rafał Majka","mountain"
"78","15",2014-07-20,222,"Flat stage","Alexander Kristoff","flat"
"79","16",2014-07-22,237.5,"High mountain stage","Michael Rogers","mountain"
"80","17",2014-07-23,124.5,"High mountain stage","Rafał Majka","mountain"
"81","18",2014-07-24,145.5,"High mountain stage","Vincenzo Nibali","mountain"
"82","19",2014-07-25,208.5,"Flat stage","Ramūnas Navardauskas","flat"
"83","20",2014-07-26,54,"Individual time trial","Tony Martin","time trial"
"84","21",2014-07-27,137.5,"Flat stage","Marcel Kittel","flat"
"85","1",2013-06-29,213,"Flat stage","Marcel Kittel","flat"
"86","2",2013-06-30,156,"Medium mountain stage","Jan Bakelants","mountain"
"87","3",2013-07-01,145.5,"Medium mountain stage","Simon Gerrans","mountain"
"88","4",2013-07-02,25,"Team time trial","Orica–GreenEDGE","time trial"
"89","5",2013-07-03,228.5,"Flat stage","Mark Cavendish","flat"
"90","6",2013-07-04,176.5,"Flat stage","André Greipel","flat"
"91","7",2013-07-05,205.5,"Flat stage","Peter Sagan","flat"
"92","8",2013-07-06,195,"High mountain stage","Chris Froome","mountain"
"93","9",2013-07-07,168.5,"High mountain stage","Dan Martin","mountain"
"94","10",2013-07-09,197,"Flat stage","Marcel Kittel","flat"
"95","11",2013-07-10,33,"Individual time trial","Tony Martin","time trial"
"96","12",2013-07-11,218,"Flat stage","Marcel Kittel","flat"
"97","13",2013-07-12,173,"Flat stage","Mark Cavendish","flat"
"98","14",2013-07-13,191,"Medium mountain stage","Matteo Trentin","mountain"
"99","15",2013-07-14,242.5,"High mountain stage","Chris Froome","mountain"
"100","16",2013-07-16,168,"High mountain stage","Rui Costa","mountain"
"101","17",2013-07-17,32,"Individual time trial","Chris Froome","time trial"
"102","18",2013-07-18,172.5,"High mountain stage","Christophe Riblon","mountain"
"103","19",2013-07-19,204.5,"High mountain stage","Rui Costa","mountain"
"104","20",2013-07-20,125,"High mountain stage","Nairo Quintana","mountain"
"105","21",2013-07-21,133.5,"Flat stage","Marcel Kittel","flat"
"106","P",2012-06-30,6.4,"Individual time trial","Fabian Cancellara","time trial"
"107","1",2012-07-01,198,"Flat stage","Peter Sagan","flat"
"108","2",2012-07-02,207.5,"Flat stage","Mark Cavendish","flat"
"109","3",2012-07-03,197,"Medium mountain stage","Peter Sagan","mountain"
"110","4",2012-07-04,214.5,"Flat stage","André Greipel","flat"
"111","5",2012-07-05,196.5,"Flat stage","André Greipel","flat"
"112","6",2012-07-06,207.5,"Flat stage","Peter Sagan","flat"
"113","7",2012-07-07,199,"Medium mountain stage","Chris Froome","mountain"
"114","8",2012-07-08,157.5,"Medium mountain stage","Thibaut Pinot","mountain"
"115","9",2012-07-09,41.5,"Individual time trial","Bradley Wiggins","time trial"
"116","10",2012-07-11,194.5,"High mountain stage","Thomas Voeckler","mountain"
"117","11",2012-07-12,148,"High mountain stage","Pierre Rolland","mountain"
"118","12",2012-07-13,226,"Medium mountain stage","David Millar","mountain"
"119","13",2012-07-14,217,"Flat stage","André Greipel","flat"
"120","14",2012-07-15,191,"High mountain stage","Luis León Sánchez","mountain"
"121","15",2012-07-16,158.5,"Flat stage","Pierrick Fédrigo","flat"
"122","16",2012-07-18,197,"High mountain stage","Thomas Voeckler","mountain"
"123","17",2012-07-19,143.5,"High mountain stage","Alejandro Valverde","mountain"
"124","18",2012-07-20,222.5,"Flat stage","Mark Cavendish","flat"
"125","19",2012-07-21,53.5,"Individual time trial","Bradley Wiggins","time trial"
"126","20",2012-07-22,120,"Flat stage","Mark Cavendish","flat"
"127","1",2011-07-02,191.5,"Flat stage","Philippe Gilbert","flat"
"128","2",2011-07-03,23,"Team time trial","Garmin–Cervélo","time trial"
"129","3",2011-07-04,198,"Flat stage","Tyler Farrar","flat"
"130","4",2011-07-05,172.5,"Flat stage","Cadel Evans","flat"
"131","5",2011-07-06,164.5,"Flat stage","Mark Cavendish","flat"
"132","6",2011-07-07,226.5,"Flat stage","Edvald Boasson Hagen","flat"
"133","7",2011-07-08,218,"Flat stage","Mark Cavendish","flat"
"134","8",2011-07-09,189,"Medium mountain stage","Rui Costa","mountain"
"135","9",2011-07-10,208,"Medium mountain stage","Luis León Sánchez","mountain"
"136","10",2011-07-12,158,"Flat stage","André Greipel","flat"
"137","11",2011-07-13,167.5,"Flat stage","Mark Cavendish","flat"
"138","12",2011-07-14,211,"High mountain stage","Samuel Sánchez","mountain"
"139","13",2011-07-15,152.5,"High mountain stage","Thor Hushovd","mountain"
"140","14",2011-07-16,168.5,"High mountain stage","Jelle Vanendert","mountain"
"141","15",2011-07-17,192.5,"Flat stage","Mark Cavendish","flat"
"142","16",2011-07-19,162.5,"Medium mountain stage","Thor Hushovd","mountain"
"143","17",2011-07-20,179,"High mountain stage","Edvald Boasson Hagen","mountain"
"144","18",2011-07-21,200.5,"High mountain stage","Andy Schleck","mountain"
"145","19",2011-07-22,109.5,"High mountain stage","Pierre Rolland","mountain"
"146","20",2011-07-23,42.5,"Individual time trial","Tony Martin","time trial"
"147","21",2011-07-24,95,"Flat stage","Mark Cavendish","flat"
"148","P",2010-07-03,8.9,"Individual time trial","Fabian Cancellara","time trial"
"149","1",2010-07-04,223.5,"Flat stage","Alessandro Petacchi","flat"
"150","2",2010-07-05,201,"Flat stage","Sylvain Chavanel","flat"
"151","3",2010-07-06,213,"Flat cobblestone stage","Thor Hushovd","flat"
"152","4",2010-07-07,153.5,"Flat stage","Alessandro Petacchi","flat"
"153","5",2010-07-08,187.5,"Flat stage","Mark Cavendish","flat"
"154","6",2010-07-09,227.5,"Flat stage","Mark Cavendish","flat"
"155","7",2010-07-10,165.5,"Medium mountain stage","Sylvain Chavanel","mountain"
"156","8",2010-07-11,189,"Mountain stage","Andy Schleck","mountain"
"157","9",2010-07-13,204.5,"Mountain stage","Sandy Casar","mountain"
"158","10",2010-07-14,179,"Medium mountain stage","Sérgio Paulinho","mountain"
"159","11",2010-07-15,184.5,"Flat stage","Mark Cavendish","flat"
"160","12",2010-07-16,210.5,"Medium mountain stage","Joaquim Rodríguez","mountain"
"161","13",2010-07-17,196,"Flat stage","Alexander Vinokourov","flat"
"162","14",2010-07-18,184.5,"Mountain stage","Christophe Riblon","mountain"
"163","15",2010-07-19,187.5,"Mountain stage","Thomas Voeckler","mountain"
"164","16",2010-07-20,199.5,"Mountain stage","Pierrick Fédrigo","mountain"
"165","17",2010-07-22,174,"Mountain stage","Andy Schleck","mountain"
"166","18",2010-07-23,198,"Flat stage","Mark Cavendish","flat"
